id_reserva,fecha_reserva,destino,nombre_tour,tipo_tour,pax_adultos,pax_ninos,pais_origen,idioma_guia,precio_unitario,ingreso_total,duracion_horas,calificacion,metodo_pago,estado_reserva,id_guia,temporada,mes,anio,email_contacto
RES03950,2021-07-30,Holbox,Tour Isla Holbox,Privado,2,1.0,Estados Unidos,Aleman,1822.0,4555.0,8.5,5.0,Efectivo,Completada,G011,Alta,7,2021,cliente5352@yahoo.com
RES01621,2022-06-04,Holbox,Tour Isla Holbox,grupal,5,2.0,Canada,Español,1141.25,6847.5,8.8,5.0,Paypal,Confirmada,G003,Media,6,2022,cliente5498@icloud.com
RES02054,2021-05-26,Bacalar,Fuerte de San Felipe,Grupal,5,,Reino Unido,Ingles,981.14,5886.84,8.5,3.7,Tarjeta credito,Completada,,Media,5,2021,cliente3756@gmail.com
RES05594,2022-03-26,Bacalar,Laguna de los 7 Colores,Grupal,20,,Mexico,Español,1181.49,25402.03,7.0,3.8,Tarjeta credito,Completada,G018,Alta,3,2022,usuario.dominio.com
RES05759,2024-03-31,Bacalar,Fuerte de San Felipe,Grupal,7,,Argentina,Frances,1060.8,9016.8,10.2,4.1,Crypto,Completada,G022,Alta,3,2024,cliente1055@icloud.com
RES00866,2023-12-16,Holbox,Punta Mosquito,grupo,8,3.0,Suecia,Español,1280.68,12166.46,9.3,4.6,Paypal,Completada,G020,Alta,12,2023,
RES00806,2023-04-29,Chichen Itza,Valladolid + Chichen Itza,Privado,2,0.0,Estados Unidos,Español,2328.09,4656.18,8.1,5.0,Efectivo,Completada,G015,Alta,4,2023,cliente2545@gmail.com
RES00656,2024-02-09,Akumal,Cenote Yalku,Grupal,17,7.0,Mexico,Frances,678.72,13913.76,2.7,1.1,Tarjeta credito,Completada,G034,Baja,2,2024,cliente5635@icloud.com
RES04818,2021-08-18,Tulum,Sian Ka'an,Grupal,19,1.0,Argentina,Italiano,1049.8,20471.1,6.8,1.7,Tarjeta credito,Completada,G003,Alta,8,2021,cliente8832@hotmail.com
RES02516,2023-02-23,Cozumel,Snorkel El Cielo,Grupal,19,9.0,Estados Unidos,Frances,909.73,21378.65,5.0,4.7,TARJETA CREDITO,Confirmada,G024,Baja,2,2023,cliente1367@hotmail.com
RES05671,2021-04-26,Uxmal,Ruta Puuc,Grupal,12,3.0,Colombia,Español,1169.98,15794.73,3.9,5.0,Tarjeta credito,Completada,G027,Alta,4,2021,cliente4397@hotmail.com
RES00024,2023-12-15,Uxmal,Ruta Puuc,Grupal,20,10.0,Mexico,Ingles,1241.72,31043.0,8.2,5.0,Tarjeta credito,Completada,G035,Alta,12,2023,cliente273@hotmail.com
RES01422,2021-05-08,Bacalar,Kayak Canales,Privado,2,0.0,Estados Unidos,Español,1407.38,2814.76,4.8,5.0,Tarjeta credito,Confirmada,G033,Media,5,2021,cliente6631@icloud.com
RES05655,2024-02-03,Merida,Izamal + Merida,Privado,1,0.0,Canada,Ingles,892.17,892.17,2.7,4.6,Efectivo,Completada,G017,Baja,2,2024,cliente5491@gmail.com
RES05256,2021-09-03,Bacalar,Kayak Canales,Grupal,6,,Holanda,Aleman,744.59,5212.13,3.1,4.6,Efectivo,Completada,G022,Baja,9,2021,cliente5654@gmail.com
RES02437,2022-05-27,Akumal,Cenote Yalku,Grupal,12,2.0,Italia,Ingles,797.3,10364.9,6.4,3.0,Transferencia,Cancelada,G013,Media,5,2022,
RES04161,2023-12-31,Chichen Itza,Valladolid + Chichen Itza,Grupal,18,1.0,Canada,Ingles,1488.67,27540.4,8.6,4.3,Tarjeta debito,Completada,G017,Alta,12,2023,cliente9493@icloud.com
RES01631,2021-06-29,Holbox,Tour Isla Holbox,Grupal,8,3.0,Japon,Español,1086.94,10325.93,,4.8,Transferencia,Confirmada,,Media,6,2021,cliente1547@yahoo.com
RES02518,2024-01-17,Chichen Itza,Valladolid + Chichen Itza,Grupal,12,6.0,Brasil,Italiano,1100.59,16508.85,3.9,5.0,Tarjeta debito,Pendiente,G007,Baja,1,2024,sinArroba.com
RES03586,2021-09-05,Playa del Carmen,Quinta Avenida + Cozumel,Privado,4,2.0,Mexico,Italiano,1096.55,5482.75,10.0,5.0,,Cancelada,G027,Baja,9,2021,cliente5831@hotmail.com
RES02858,2022-09-28,Akumal,Snorkel Tortugas Akumal,Grupal,11,0.0,Alemania,Español,746.68,8213.48,7.8,3.1,Tarjeta debito,Completada,G034,Baja,9,2022,cliente9283@icloud.com
RES05386,2022-01-05,Akumal,Snorkel Tortugas Akumal,Privado,1,0.0,Canada,Español,1015.14,1015.14,7.8,3.7,Efectivo,Completada,G021,Baja,1,2022,cliente6301@hotmail.com
RES05635,2021-03-12,Uxmal,Ruta Puuc,Privado,3,0.0,Estados Unidos,Frances,1767.55,5302.65,6.3,,Efectivo,Completada,G014,Alta,3,2021,cliente6800@hotmail.com
RES04490,2023-12-24,Tulum,Cenote Gran Cenote,Grupal,20,0.0,España,Español,1152.09,23041.8,6.6,3.7,Tarjeta debito,Completada,G028,Alta,12,2023,
RES04743,2021-02-06,Merida,Haciendas del Mayab,Grupal,20,7.0,Reino Unido,Español,616.07,14477.65,4.3,4.7,Tarjeta debito,Completada,G008,Baja,2,2021,cliente7430@outlook.com
RES02967,2023-04-17,Bacalar,Fuerte de San Felipe,Grupal,4,1.0,Estados Unidos,Ingles,1144.85,5151.82,10.0,3.9,Tarjeta debito,Completada,G028,Alta,4,2023,cliente5403@gmail.com
RES00255,2021-02-23,Tulum,Cenote Gran Cenote,Privado,4,0.0,Estados Unidos,Español,1170.18,4680.72,6.9,3.9,Tarjeta credito,Pendiente,G029,Baja,2,2021,cliente4615@icloud.com
RES02550,2021-05-20,Cozumel,Buceo Arrecife Palancar,Privado,1,0.0,Canada,Frances,1593.21,1593.21,5.4,5.0,Tarjeta credito,Completada,G028,Media,5,2021,cliente7163@hotmail.com
RES01194,2021-05-21,Cancun,Isla Mujeres,Privado,-3,0.0,Italia,Frances,1084.59,3253.77,9.2,4.4,Efectivo,Completada,G033,Media,5,2021,cliente5052@outlook.com
RES00222,2022-06-08,Merida,Izamal + Merida,Privado,3,0.0,Mexico,Ingles,1007.89,3023.67,5.5,2.8,Efectivo,Confirmada,G005,Media,6,2022,cliente8334@outlook.com
RES01742,2021-02-04,Bacalar,Fuerte de San Felipe,Grupal,5,1.0,Brasil,Frances,725.24,3988.82,8.2,2.7,Tarjeta debito,Completada,G032,Baja,2,2021,cliente3114@icloud.com
RES04249,2021-12-18,Merida,Izamal + Merida,Grupal,7,0.0,Mexico,Español,829.02,5803.14,7.4,2.6,Efectivo,Completada,,Alta,12,2021,cliente653@hotmail.com
RES04221,2021-03-24,Chichen Itza,Valladolid + Chichen Itza,Privado,1,0.0,Mexico,Frances,2247.76,2247.76,6.0,4.8,Tarjeta credito,Cancelada,G011,Alta,3,2021,sinArroba.com
RES01162,2023-08-08,Tulum,Cenote Dos Ojos,Grupal,18,2.0,Mexico,Portugues,1049.05,19931.95,,4.2,Efectivo,Completada,G024,Alta,8,2023,cliente2179@hotmail.com
RES01401,2022-04-22,Chichen Itza,Chichen Itza + Cenote Ik Kil,Grupal,11,1.0,Estados Unidos,Italiano,1561.13,17953.0,4.9,4.8,Tarjeta debito,Completada,G036,Alta,4,2022,
RES04352,2021-03-29,Uxmal,Ruta Puuc,Grupal,20,9.0,Reino Unido,Aleman,,28476.1,8.0,4.3,Tarjeta credito,Confirmada,G021,Alta,3,2021,cliente1090@icloud.com
RES00882,2024-01-11,Cancun,Zona Hotelera Tour,Grupal,9,3.0,Belgica,,636.34,6681.57,5.0,3.9,Tarjeta debito,Confirmada,G024,Baja,1,2024,cliente1350@hotmail.com
RES05673,2022-07-16,Akumal,Snorkel Tortugas Akumal,Privado,1,0.0,Japon,Italiano,1506.34,1506.34,5.6,5.0,Tarjeta debito,Cancelada,,Alta,7,2022,cliente3146@gmail.com
RES04796,2022-02-17,Chichen Itza,Valladolid + Chichen Itza,Grupal,12,1.0,Mexico,Ingles,969.45,12118.12,6.8,4.2,Tarjeta debito,Pendiente,G029,Baja,2,2022,@dominio.com
RES00566,2021-10-21,Uxmal,Uxmal + Kabah,Privado,4,1.0,Colombia,Portugues,1604.32,7219.44,8.8,4.7,Tarjeta credito,Confirmada,G023,Media,10,2021,us er@gmail.com
RES00756,2024-01-05,Merida,Centro Historico Merida,Privado,1,0.0,,Aleman,972.26,972.26,4.7,2.8,Tarjeta credito,Completada,G009,Baja,1,2024,cliente4630@yahoo.com
RES02500,2021-07-05,Holbox,Avistamiento Tiburon Ballena,Privado,1,0.0,Japon,Aleman,2071.12,2071.12,8.8,4.8,Efectivo,Completada,G002,Alta,7,2021,cliente5649@yahoo.com
RES03694,2022-01-12,Cancun,Snorkel Arrecife,Grupal,4,0.0,Italia,Español,633.28,2533.12,7.9,5.0,Efectivo,Completada,G028,Baja,1,2022,usuario.dominio.com
RES01877,2022-12-21,Cozumel,Buceo Arrecife Palancar,Grupal,8,4.0,Canada,Ingles,1227.22,12272.2,8.6,3.8,Tarjeta credito,Completada,G040,Alta,12,2022,cliente8304@yahoo.com
RES00080,2022-07-03,Akumal,Cenote Yalku,Privado,3,1.0,Mexico,Ingles,1495.44,5234.04,4.5,4.9,Transferencia,Confirmada,G040,Alta,7,2022,cliente431@gmail.com
RES02338,2023-04-05,Chichen Itza,Chichen Itza + Cenote Ik Kil,Grupal,11,1.0,Mexico,Italiano,1576.09,18125.03,9.7,5.0,Efectivo,Completada,G017,Alta,4,2023,cliente7107@icloud.com
RES05591,2024-03-30,Cancun,Laguna Nichupte,Privado,3,1.0,Mexico,Ingles,1293.21,4526.24,9.8,,Efectivo,Completada,G038,Alta,3,2024,cliente5997@icloud.com
RES02804,2021-11-27,Cancun,Snorkel Arrecife,Privado,4,1.0,Mexico,Ingles,1101.28,4955.76,6.5,3.8,Tarjeta credito,Completada,G001,Media,11,2021,cliente9533@gmail.com
RES00764,2021-06-20,Bacalar,Laguna de los 7 Colores,Grupal,11,3.0,Mexico,Ingles,943.76,11797.0,10.1,3.8,Tarjeta debito,Confirmada,G021,Media,6,2021,cliente1485@hotmail.com
RES01600,2022-07-06,Tulum,Cenote Gran Cenote,Grupal,4,0.0,Mexico,Español,1157.24,4628.96,5.1,,Tarjeta debito,Completada,G020,Alta,7,2022,usuario@
RES02289,2023-11-19,Holbox,Tour Isla Holbox,Grupal,20,3.0,Francia,Ingles,994.59,21383.69,4.0,4.9,Tarjeta credito,Confirmada,G028,Media,11,2023,cliente4992@outlook.com
RES05262,2023-04-14,Merida,Izamal + Merida,Grupal,4,1.0,Brasil,Ingles,920.91,4144.1,,5.0,Tarjeta debito,Completada,G040,Alta,4,2023,cliente8426@outlook.com
RES05026,2023-04-13,Playa del Carmen,Xel-Ha,Grupal,4,2.0,,Español,978.44,4892.2,9.0,5.0,Tarjeta debito,Completada,G039,Alta,4,2023,cliente6724@icloud.com
RES01884,2021-03-15,Cozumel,Snorkel El Cielo,Grupal,14,5.0,Belgica,Aleman,1277.1,21072.15,9.3,4.9,Tarjeta credito,Completada,G031,Alta,3,2021,cliente6041@gmail.com
RES04733,2023-09-16,Cancun,Zona Hotelera Tour,Grupal,9,0.0,Italia,Español,691.46,6223.14,7.2,1.7,Efectivo,Completada,,Baja,9,2023,cliente6502@outlook.com
RES02192,2023-08-03,Cancun,Laguna Nichupte,Grupal,14,4.0,Francia,Ingles,910.84,14573.44,5.1,4.9,Paypal,Completada,G035,Alta,8,2023,cliente1715@hotmail.com
RES05624,2021-08-17,Cancun,Zona Hotelera Tour,Grupal,12,1.0,Mexico,Italiano,939.38,11742.25,4.7,4.1,Efectivo,Pendiente,G009,Alta,8,2021,cliente7613@hotmail.com
RES02300,2023-10-01,Merida,Haciendas del Mayab,Grupal,12,0.0,Mexico,Español,754.51,9054.12,6.8,5.0,Tarjeta credito,Completada,G006,Media,10,2023,cliente5069@hotmail.com
RES00168,2023-11-23,Cancun,Laguna Nichupte,Grupal,19,7.0,Mexico,Frances,787.96,17729.1,8.5,4.1,Tarjeta credito,Completada,G011,Media,11,2023,cliente2875@yahoo.com
RES03251,2021-03-10,Holbox,Avistamiento Tiburon Ballena,Grupal,7,1.0,Brasil,Ingles,1334.26,10006.95,8.2,4.9,,Completada,G031,Alta,3,2021,cliente9238@icloud.com
RES05252,2023-04-07,Merida,Centro Historico Merida,Grupal,11,4.0,Canada,Español,914.12,11883.56,6.4,4.1,Efectivo,Completada,G039,Alta,4,2023,cliente1698@hotmail.com
RES03451,2021-02-15,Holbox,Punta Mosquito,grupo,13,4.0,Mexico,Español,862.01,12930.15,3.0,4.1,Efectivo,Cancelada,G001,Baja,2,2021,cliente7026@hotmail.com
RES01510,2022-05-26,Chichen Itza,Valladolid + Chichen Itza,Grupal,8,3.0,Mexico,Español,,10859.74,3.8,4.6,Tarjeta credito,Pendiente,G005,Media,5,2022,
RES04662,2021-06-01,Tulum,Ruinas de Tulum,Grupal,4,2.0,,Español,924.32,4621.6,5.1,5.0,Tarjeta credito,Pendiente,G018,Media,6,2021,cliente3509@outlook.com
RES03168,2022-06-12,Cancun,Zona Hotelera Tour,Grupal,4,1.0,Brasil,Español,784.94,3532.23,2.9,5.0,Transferencia,Pendiente,G021,Media,6,2022,cliente4949@outlook.com
RES00229,2021-11-09,Akumal,Snorkel Tortugas Akumal,Grupal,18,3.0,,Ingles,847.39,16524.1,2.8,5.0,Tarjeta debito,Completada,G038,Media,11,2021,cliente3375@yahoo.com
RES00531,2023-09-03,Cancun,Zona Hotelera Tour,Grupal,19,1.0,Francia,Italiano,655.52,12782.64,4.6,5.0,,Completada,G011,Baja,9,2023,
RES02378,2022-09-05,Cozumel,Snorkel El Cielo,Privado,3,1.0,Estados Unidos,Ingles,1443.23,5051.31,7.2,1.9,Efectivo,Completada,G017,Baja,9,2022,cliente7739@hotmail.com
RES01372,2021-08-12,Bacalar,Kayak Canales,Grupal,16,0.0,Estados Unidos,Frances,1126.52,18024.32,2.7,4.2,Crypto,Confirmada,G015,Alta,8,2021,cliente5314@hotmail.com
RES04869,2022-07-21,Cozumel,Buceo Arrecife Palancar,Grupal,15,2.0,Canada,Ingles,1269.28,20308.48,,1.9,Efectivo,Pendiente,G022,Alta,7,2022,cliente7527@outlook.com
RES00085,2023-11-23,Chichen Itza,Chichen Itza + Cenote Ik Kil,Grupal,11,1.0,Estados Unidos,Aleman,1135.27,13055.6,7.7,5.0,Transferencia,Confirmada,G027,Media,11,2023,cliente7274@yahoo.com
RES03927,2023-09-23,Chichen Itza,Valladolid + Chichen Itza,Grupal,20,2.0,Italia,Español,1117.1,23459.1,4.4,4.8,,Completada,G020,Baja,9,2023,cliente1148@hotmail.com
RES01023,2023-05-26,Uxmal,Ruta Puuc,Privado,1,0.0,Japon,Frances,1479.68,1479.68,2.5,4.1,Efectivo,Completada,G038,Media,5,2023,cliente4295@gmail.com
RES04819,2022-04-25,Uxmal,Ruta Puuc,Grupal,14,0.0,Australia,Ingles,1171.14,16395.96,3.5,4.8,Tarjeta credito,Completada,G019,Alta,4,2022,cliente8630@hotmail.com
RES00677,2022-03-08,Playa del Carmen,Quinta Avenida + Cozumel,Privado,2,0.0,Estados Unidos,Español,1643.33,3286.66,6.5,3.7,EFECTIVO,Completada,G036,Alta,3,2022,cliente5192@hotmail.com
RES05904,2021-09-08,Merida,Haciendas del Mayab,Privado,1,0.0,Brasil,Español,900.71,900.71,3.7,3.7,Tarjeta credito,Cancelada,G026,Baja,9,2021,cliente1504@outlook.com
RES05820,2022-07-30,Akumal,Snorkel Tortugas Akumal,Grupal,15,2.0,Alemania,Ingles,973.65,15578.4,4.0,5.0,Tarjeta credito,Completada,G023,Alta,7,2022,cliente702@yahoo.com
RES01449,2021-12-25,Uxmal,Uxmal + Kabah,Grupal,5,2.0,Canada,Ingles,1285.41,7712.46,8.0,,Tarjeta credito,Completada,G039,Alta,12,2021,cliente3788@gmail.com
RES01658,2022-03-10,Uxmal,Ruta Puuc,Grupal,13,4.0,Estados Unidos,Español,1260.36,18905.4,4.5,4.8,Tarjeta debito,Completada,G025,Alta,3,2022,cliente9524@gmail.com
RES01696,2023-09-04,Chichen Itza,Chichen Itza + Cenote Ik Kil,Privado,1,0.0,Mexico,Portugues,1537.93,1537.93,9.3,5.0,Efectivo,Completada,G036,Baja,9,2023,cliente6887@outlook.com
RES01670,2023-04-26,Cozumel,Snorkel El Cielo,Grupal,19,6.0,Brasil,Ingles,1402.61,30857.42,10.3,4.1,EFECTIVO,Completada,G022,Alta,4,2023,sinArroba.com
RES05206,2023-11-04,Akumal,Snorkel Tortugas Akumal,Grupal,10,5.0,Estados Unidos,Español,838.43,10480.38,3.4,5.0,Efectivo,Confirmada,G029,Media,11,2023,cliente1082@yahoo.com
RES04328,2022-11-26,Tulum,Cenote Gran Cenote,Privado,2,0.0,Estados Unidos,Frances,1407.79,2815.58,8.1,4.9,Tarjeta credito,Confirmada,G017,Media,11,2022,cliente7028@hotmail.com
RES01617,2022-08-31,Cancun,Isla Mujeres,Grupal,18,5.0,Brasil,Ingles,951.86,19513.13,9.4,5.0,Efectivo,Completada,G008,Alta,8,2022,cliente8716@outlook.com
RES01098,2021-02-17,Akumal,Cenote Yalku,Privado,1,0.0,Reino Unido,Ingles,1075.01,1075.01,4.5,5.0,Efectivo,Confirmada,G017,Baja,2,2021,cliente2617@outlook.com
RES03516,2023-11-18,Akumal,Snorkel Tortugas Akumal,Grupal,6,3.0,Brasil,Aleman,737.73,5532.98,9.4,,Paypal,Cancelada,G012,Media,11,2023,cliente9526@outlook.com
RES03104,2022-03-04,Uxmal,Ruta Puuc,Privado,2,0.0,Alemania,Frances,1865.2,3730.4,5.9,4.1,Paypal,Completada,G022,Alta,3,2022,cliente8501@icloud.com
RES04636,2022-12-22,Cozumel,Snorkel El Cielo,Grupal,15,2.0,Estados Unidos,Italiano,1439.4,23030.4,8.6,4.2,Tarjeta credito,Completada,G004,Alta,12,2022,cliente7768@hotmail.com
RES04571,2022-02-16,Cozumel,Buceo Arrecife Palancar,Grupal,5,0.0,Alemania,Ingles,1017.66,5088.3,3.2,3.4,Tarjeta debito,Completada,G035,Baja,2,2022,
RES00038,2021-06-26,Bacalar,Fuerte de San Felipe,Grupal,18,8.0,Estados Unidos,Portugues,830.66,18274.52,6.2,5.0,Tarjeta credito,Completada,G006,Media,6,2021,cliente5417@gmail.com
RES01499,2023-02-04,Cancun,Isla Mujeres,Privado,1,0.0,Estados Unidos,Ingles,892.91,892.91,8.8,4.2,Tarjeta debito,Completada,G009,Baja,2,2023,cliente4199@icloud.com
RES03647,2023-04-24,Cancun,Laguna Nichupte,Privado,1,,España,Ingles,1317.84,1317.84,7.9,3.7,Tarjeta debito,Completada,G039,Alta,4,2023,cliente4803@gmail.com
RES01455,2023-07-14,Holbox,Tour Isla Holbox,Grupal,17,5.0,Mexico,Español,1348.62,26298.09,4.5,4.9,Efectivo,Pendiente,G036,Alta,7,2023,cliente2314@yahoo.com
RES02457,2022-06-21,Cancun,Zona Hotelera Tour,Grupal,4,2.0,Estados Unidos,Español,742.9,3714.5,9.7,,Efectivo,Completada,G011,Media,6,2022,cliente9049@icloud.com
RES00692,2023-07-19,Merida,Izamal + Merida,Grupal,16,3.0,Estados Unidos,Español,843.87,14767.73,7.8,4.9,Tarjeta credito,Completada,G037,Alta,7,2023,cliente4871@icloud.com
RES02196,2023-09-14,Playa del Carmen,Quinta Avenida + Cozumel,Grupal,5,2.0,Polonia,Español,692.18,4153.08,3.5,4.9,Transferencia,Completada,G038,Baja,9,2023,cliente2578@gmail.com
RES03492,2021-06-11,Bacalar,Laguna de los 7 Colores,Grupal,12,6.0,Mexico,Italiano,838.16,12572.4,3.6,5.0,Efectivo,Confirmada,G034,Media,6,2021,cliente7533@outlook.com
RES00707,2023-04-20,Cozumel,Snorkel El Cielo,Grupal,11,4.0,Estados Unidos,Español,1232.42,16021.46,9.9,3.9,Efectivo,Completada,G018,Alta,4,2023,cliente2089@gmail.com
RES01221,2021-02-16,Playa del Carmen,Quinta Avenida + Cozumel,Grupal,19,2.0,Estados Unidos,Español,692.13,13842.6,6.3,3.1,Tarjeta credito,Completada,G030,Baja,2,2021,cliente3645@gmail.com
RES05963,2023-11-11,Bacalar,Fuerte de San Felipe,Privado,1,0.0,Estados Unidos,Italiano,1355.1,1355.1,4.5,2.2,Tarjeta credito,Confirmada,G015,Media,11,2023,cliente4509@yahoo.com
RES02451,2023-11-15,Merida,Centro Historico Merida,Grupal,20,8.0,,Frances,743.22,17837.28,,4.7,Tarjeta credito,Completada,G006,Media,11,2023,cliente3001@gmail.com
RES01407,2024-01-05,Chichen Itza,Valladolid + Chichen Itza,Grupal,9,1.0,Canada,Español,1011.28,9607.16,4.1,5.0,Efectivo,Completada,G004,Baja,1,2024,cliente9115@icloud.com
RES04767,2023-08-26,Tulum,Cenote Dos Ojos,Grupal,17,5.0,Mexico,Portugues,1174.06,22894.17,4.1,4.7,Tarjeta credito,Completada,G033,Alta,8,2023,cliente4514@yahoo.com
RES05207,2021-03-02,Akumal,Cenote Yalku,Grupal,9,4.0,Estados Unidos,Español,999.6,10995.6,4.2,4.0,Tarjeta credito,Confirmada,,Alta,3,2021,cliente668@icloud.com
RES04601,2023-08-24,Holbox,Punta Mosquito,Grupal,11,0.0,Estados Unidos,Español,1172.08,12892.88,8.2,2.9,Tarjeta debito,Confirmada,G021,Alta,8,2023,cliente3265@outlook.com
RES01893,2021-10-28,Bacalar,Fuerte de San Felipe,Grupal,8,0.0,Mexico,Portugues,850.28,-6802.24,8.8,5.0,Transferencia,Completada,G038,Media,10,2021,cliente2641@icloud.com
RES01515,2021-12-13,Cozumel,Buceo Arrecife Palancar,Grupal,6,,Canada,Frances,1442.09,10094.63,5.9,1.2,Tarjeta credito,Completada,G016,Alta,12,2021,cliente8213@outlook.com
RES04029,2021-08-27,Cancun,Laguna Nichupte,Privado,4,0.0,Italia,Español,1427.61,5710.44,8.5,4.9,Efectivo,Completada,G035,Alta,8,2021,cliente4402@yahoo.com
RES00507,2023-09-18,Playa del Carmen,Xel-Ha,Grupal,6,2.0,Suecia,Frances,693.93,4857.51,6.8,-1.0,Tarjeta credito,Cancelada,,Baja,9,2023,cliente2440@outlook.com
RES03754,2023-07-09,Playa del Carmen,Xcaret,Privado,1,0.0,Mexico,Español,1504.69,1504.69,4.4,4.3,Tarjeta debito,Cancelada,G021,Alta,7,2023,cliente3427@outlook.com
RES01567,2022-08-13,Merida,Centro Historico Merida,Privado,3,0.0,Mexico,Español,1353.43,4060.29,6.4,5.0,Efectivo,Cancelada,G010,Alta,8,2022,cliente1595@yahoo.com
RES03341,2023-09-28,Tulum,Ruinas de Tulum,Privado,1,0.0,Colombia,Aleman,1253.72,1253.72,9.9,3.2,,Completada,,Baja,9,2023,cliente2815@hotmail.com
RES00094,2022-02-08,Chichen Itza,Valladolid + Chichen Itza,Grupal,15,2.0,Canada,Español,1053.77,16860.32,8.5,4.9,Efectivo,Completada,G022,Baja,2,2022,cliente9452@icloud.com
RES04646,2021/10/17,Chichen Itza,Chichen Itza + Cenote Ik Kil,Grupal,18,1.0,Canada,Frances,1143.7,21158.45,6.2,4.1,,Completada,G011,Media,10,2021,
RES02120,2023-12-18,Uxmal,Uxmal + Kabah,Privado,4,0.0,Reino Unido,Ingles,1856.17,7424.68,9.1,4.3,Efectivo,Completada,G004,Alta,12,2023,cliente1351@yahoo.com
RES02324,2022-09-25,Holbox,Punta Mosquito,Privado,3,0.0,Mexico,Ingles,1456.92,4370.76,3.1,,Tarjeta credito,Completada,G001,Baja,9,2022,
RES04926,2021-04-05,Cozumel,Tour Isla Cozumel,Privado,4,0.0,Mexico,Español,1850.9,7403.6,7.0,5.0,Efectivo,Completada,G027,Alta,4,2021,cliente2425@hotmail.com
RES03888,2021-07-05,Cozumel,Tour Isla Cozumel,Grupal,13,6.0,Estados Unidos,Español,1300.86,20813.76,6.2,3.7,Transferencia,Completada,G021,Alta,7,2021,cliente1017@yahoo.com
RES03025,2024-01-05,Merida,Centro Historico Merida,Grupal,18,0.0,Holanda,Español,605.12,10892.16,,4.4,Efectivo,Cancelada,G018,Baja,1,2024,cliente7194@icloud.com
RES01739,2022-08-28,Bacalar,Laguna de los 7 Colores,Grupal,12,5.0,Francia,Español,1058.16,15343.32,4.8,4.8,Transferencia,Completada,G038,Alta,8,2022,cliente6656@gmail.com
RES02307,2021-06-07,Merida,Centro Historico Merida,Grupal,12,6.0,Mexico,Italiano,676.98,10154.7,6.2,1.0,Efectivo,Pendiente,G016,Media,6,2021,cliente8168@yahoo.com
